Age,KM,Fuel_Type,HP,Automatic,CC,Quarterly_Tax,Weight,Price
38,67805,Petrol,110,0,1600,85,1075,12950
35,65988,Petrol,110,0,1600,69,1040,11950
34,65345,Petrol,97,0,1400,85,1060,11690
42,64564,Petrol,110,0,1600,85,1080,12450
36,63459,Petrol,97,0,1400,85,1060,12750
44,63451,Petrol,97,0,1400,69,1025,11925
33,62000,Petrol,110,0,1600,19,1075,12950
42,61300,Petrol,97,0,1400,69,1030,11950
41,61200,Petrol,110,0,1600,69,1045,12900
41,61000,Petrol,110,0,1600,85,1075,11900
38,60829,Petrol,110,0,1600,85,1075,11650
44,60500,Petrol,110,0,1600,85,1075,10950
35,59500,Diesel,69,0,1900,64,1110,13950
44,59000,Petrol,110,1,1600,85,1110,13950
40,58954,Petrol,110,0,1600,85,1080,11950
38,58798,Petrol,110,0,1600,85,1075,10950
38,58363,Petrol,110,0,1600,85,1055,12450
43,58277,Petrol,110,0,1600,69,1045,11950
33,57711,Diesel,90,0,2000,210,1165,13500
33,57269,Petrol,110,0,1600,85,1075,11690
39,56001,Petrol,110,0,1600,85,1075,13500
42,55968,Petrol,110,0,1600,69,1050,11950
39,55678,Petrol,110,0,1600,69,1030,12900
43,55539,Petrol,110,0,1600,85,1085,13500
42,55400,Petrol,110,0,1600,85,1075,11750
33,55350,Petrol,110,0,1600,85,1075,11750
43,54600,Petrol,110,0,1600,69,1030,10850
43,53773,Petrol,110,0,1600,85,1075,11750
42,53719,Petrol,110,1,1600,85,1105,14950
39,53644,Petrol,110,0,1600,19,1075,9940
42,53350,Petrol,110,0,1600,85,1075,12900
38,53000,Petrol,110,0,1600,85,1075,13500
44,52084,Petrol,97,0,1400,69,1025,11750
44,52000,Petrol,97,0,1400,69,1025,11950
33,51945,Petrol,110,0,1600,85,1075,13450
41,51732,Petrol,97,0,1400,69,1025,11950
39,50873,Petrol,110,0,1600,85,1075,12495
41,50856,Petrol,110,0,1600,69,1030,13500
40,50640,Petrol,110,0,1600,85,1075,12750
39,50000,Petrol,97,0,1400,85,1060,12000
38,49500,Petrol,110,0,1600,85,1075,11950
44,49332,Petrol,110,0,1600,85,1080,12495
34,49291,Petrol,110,0,1600,69,1040,12450
40,48952,Diesel,90,0,2000,210,1205,14750
39,48945,Petrol,110,0,1600,69,1040,10950
33,48928,Diesel,69,0,1900,185,1105,13500
38,48197,Petrol,110,0,1600,85,1075,12950
35,48052,Diesel,69,0,1900,185,1105,13500
34,48011,Petrol,110,0,1600,69,1030,13450
43,48000,Petrol,110,0,1600,85,1075,13500
41,47350,Petrol,110,0,1600,85,1075,11480
39,46821,Petrol,97,0,1400,85,1060,13450
39,46694,Petrol,110,0,1600,69,1040,11495
43,46515,Petrol,97,0,1400,69,1025,12750
38,46327,Petrol,110,0,1600,85,1055,14990
35,46304,Petrol,97,0,1400,85,1060,12950
40,45886,Petrol,110,0,1600,85,1080,12950
39,45713,Petrol,97,0,1400,19,1085,12850
40,45600,Petrol,110,1,1600,85,1105,13950
41,45287,Petrol,110,0,1600,85,1075,11950
39,45081,Petrol,110,0,1600,85,1075,12950
40,44830,Petrol,110,0,1600,85,1075,11700
37,44757,Petrol,97,0,1400,69,1025,9950
44,44218,Petrol,97,0,1400,85,1060,11895
43,43632,Petrol,110,0,1600,85,1075,12950
36,43427,Petrol,110,0,1600,69,1040,12500
39,43254,Petrol,110,0,1600,85,1075,13875
35,43000,Petrol,110,0,1600,69,1050,10500
33,42823,Petrol,110,0,1600,85,1075,12295
42,42560,Petrol,110,0,1600,85,1080,13950
38,41754,Petrol,110,0,1600,69,1040,10950
44,41499,CNG,110,0,1600,197,1103,12950
40,41339,Petrol,110,0,1600,85,1080,12850
35,41000,Petrol,110,0,1600,85,1075,13995
39,40000,Petrol,110,0,1600,85,1055,13750
37,39757,Petrol,110,0,1600,85,1075,12750
41,39659,Petrol,110,0,1600,69,1045,12500
43,39650,Petrol,110,0,1600,85,1055,13950
39,39524,Petrol,97,0,1398,69,1025,11500
44,39516,Petrol,97,0,1400,85,1060,13950
41,39439,Petrol,97,0,1400,85,1060,11895
44,39000,Petrol,97,0,1400,69,1025,9950
42,38932,Petrol,110,0,1600,69,1040,13500
37,38812,Petrol,97,0,1400,69,1025,11450
42,38665,Petrol,110,0,1600,85,1075,12450
40,38653,Petrol,110,0,1600,85,1080,12950
44,38461,Petrol,110,0,1600,85,1080,13995
42,38078,Petrol,97,0,1400,69,1025,11750
39,37782,Petrol,97,0,1400,85,1060,11650
43,37576,Petrol,97,0,1400,69,1030,9950
41,37533,Petrol,110,0,1600,85,1075,13950
44,37389,Petrol,110,0,1600,85,1080,12950
38,37320,Petrol,97,0,1400,69,1025,10950
42,37000,Petrol,97,0,1400,69,1025,9900
44,37000,Petrol,110,0,1600,19,1075,11950
40,36566,Petrol,110,0,1600,85,1090,11990
36,36269,Petrol,110,0,1600,85,1075,10750
37,36074,Petrol,110,1,1600,19,1075,13950
44,36066,Petrol,110,0,1600,69,1040,11250
39,34599,Petrol,110,0,1600,85,1075,12950
41,34000,Petrol,110,0,1600,85,1075,11950
42,33623,Petrol,97,0,1400,69,1025,10950
33,33591,Petrol,110,0,1600,85,1075,12950
35,33258,Petrol,110,0,1600,85,1075,12950
43,33113,Petrol,110,0,1600,85,1075,11695
41,33000,Petrol,110,1,1600,19,1075,11000
35,32941,Petrol,110,0,1600,85,1080,13950
38,32781,Petrol,110,0,1600,85,1075,11950
40,32532,Petrol,110,0,1600,69,1040,11750
34,32431,Petrol,97,0,1400,85,1060,12400
35,32000,Petrol,110,0,1600,69,1040,12500
33,31000,Petrol,110,0,1600,19,1075,12900
41,30989,Petrol,110,0,1600,69,1045,12200
43,30742,Petrol,110,0,1600,69,1040,12750
42,30190,Petrol,110,0,1600,85,1075,11950
41,29716,Petrol,116,0,1600,85,1075,11900
44,29716,Petrol,110,1,1600,85,1070,11950
42,29640,Petrol,110,0,1600,85,1055,14950
41,29056,Petrol,97,0,1400,85,1060,11950
33,28715,Petrol,110,0,1600,85,1075,12950
41,28571,Petrol,110,0,1600,85,1090,14950
40,28362,Petrol,110,0,1600,69,1040,13450
38,28150,Petrol,110,0,1600,85,1075,13750
43,27301,Petrol,110,0,1600,69,1040,12950
33,27240,Petrol,110,0,1600,85,1075,12750
39,27170,Petrol,97,0,1400,85,1060,11895
42,27141,Petrol,97,0,1400,85,1060,9950
38,26262,Petrol,110,0,1600,85,1075,12450
38,26000,Petrol,97,0,1400,85,1060,12500
43,25228,Petrol,110,0,1600,69,1045,14950
39,25062,Petrol,110,0,1600,85,1080,13750
39,24723,Petrol,110,1,1600,85,1060,12695
33,24650,Petrol,110,0,1600,85,1055,14990
43,24553,Petrol,110,0,1600,85,1080,12750
41,24475,Petrol,110,0,1600,69,1030,14350
39,24444,Petrol,110,0,1600,69,1040,12950
35,24011,Petrol,97,0,1400,69,1025,11500
41,24000,Petrol,97,0,1400,69,1025,11950
40,23616,Petrol,110,0,1600,85,1075,13450
38,22865,Petrol,110,0,1600,85,1075,12900
41,22780,Petrol,86,0,1300,69,1035,10500
35,21904,Petrol,97,0,1400,69,1025,10950
41,21651,Petrol,97,0,1400,69,1025,11950
37,21500,Petrol,110,0,1600,69,1030,11450
44,21027,Petrol,110,0,1600,85,1080,13250
39,18500,Petrol,110,0,1600,69,1030,10250
35,18000,Petrol,110,0,1600,85,1075,13995
40,17051,Petrol,97,0,1400,85,1060,11950
33,16512,Petrol,97,0,1400,19,1085,13250
40,16325,Petrol,110,0,1600,85,1080,12950
38,16000,Petrol,97,0,1400,85,1060,11750
39,12000,Petrol,110,0,1600,85,1075,11500
43,10000,Petrol,97,0,1400,85,1060,13500
53,216000,Diesel,69,0,1900,185,1110,6500
51,198167,Diesel,69,0,1900,185,1095,6400
53,176000,Diesel,69,0,1900,185,1105,7000
54,174139,Diesel,72,0,2000,185,1100,7750
45,174000,Diesel,69,0,1900,185,1095,8900
55,150000,CNG,110,0,1600,72,1075,8500
54,149329,Diesel,72,0,2000,185,1135,8950
51,146736,Petrol,110,0,1600,85,1080,9900
53,143513,Diesel,69,0,1900,185,1140,10250
48,142130,CNG,110,0,1600,197,1119,9250
48,140700,Diesel,69,0,1900,64,1110,7750
54,138394,Diesel,69,0,1900,185,1095,9450
55,137000,Diesel,72,0,2000,185,1135,7750
52,135258,Diesel,69,0,1900,185,1140,8250
49,131364,Petrol,110,0,1600,85,1075,9950
56,129155,Diesel,69,0,1800,64,1110,4450
50,126110,Petrol,110,0,1600,85,1055,9950
48,119742,Petrol,110,0,1600,85,1080,9000
53,117913,Diesel,69,0,1900,64,1110,9950
47,117430,Diesel,90,0,2000,210,1165,12450
55,117175,Petrol,110,0,1600,69,1035,10500
54,115558,Petrol,110,0,1600,69,1035,10750
53,115113,Petrol,97,0,1400,69,1025,8950
54,115046,Diesel,69,0,1900,185,1140,10500
56,113997,Diesel,72,0,2000,64,1135,5150
49,107859,Petrol,97,0,1400,85,1060,10950
52,104805,Petrol,97,0,1400,69,1025,9450
54,103454,Petrol,110,0,1600,85,1075,9950
51,103018,Diesel,69,0,1900,185,1140,10950
47,102352,Petrol,110,0,1600,85,1080,11900
50,102030,Petrol,97,0,1400,85,1060,9950
54,101352,Petrol,110,0,1600,85,1080,11950
50,99865,Petrol,110,0,1600,69,1035,7900
52,99323,Petrol,110,0,1600,85,1055,10950
48,98100,Diesel,69,0,1900,185,1140,8950
51,98040,Petrol,110,0,1600,85,1080,11950
49,97600,Petrol,110,0,1600,69,1045,10900
55,97234,Petrol,110,0,1600,85,1080,9950
51,96135,Diesel,72,0,2000,185,1115,9950
54,96100,Petrol,110,0,1600,85,1080,10950
55,94401,Diesel,72,0,2000,185,1115,8950
55,94122,Petrol,86,0,1300,69,1015,8950
49,91340,Petrol,110,0,1600,85,1055,10500
53,90200,Petrol,97,0,1400,69,1025,8950
53,90097,Diesel,69,0,1900,185,1140,9250
48,89049,Petrol,97,0,1400,85,1060,11500
52,89000,Petrol,110,0,1600,85,1075,9750
45,87274,Petrol,110,0,1600,69,1040,9950
49,86221,Petrol,110,0,1600,69,1045,11450
54,84598,Petrol,110,0,1600,19,1075,12500
50,83567,Petrol,110,0,1600,85,1075,10500
50,83106,Petrol,110,0,1600,85,1075,12950
50,82805,Petrol,110,0,1600,69,1040,12200
50,82735,Petrol,97,0,1400,69,1030,10950
54,81905,Petrol,110,0,1600,19,1105,10950
49,80320,Petrol,110,1,1600,85,1070,11290
49,80090,Petrol,97,0,1400,69,1030,10750
53,79800,Petrol,110,0,1600,85,1075,10895
47,78785,CNG,110,0,1600,197,1119,11500
48,78600,Petrol,110,0,1600,85,1075,9750
55,77780,Petrol,110,0,1600,69,1040,10250
49,77648,Petrol,110,0,1600,69,1030,12500
54,77270,Petrol,110,0,1600,69,1035,11950
50,76167,Petrol,97,0,1400,85,1060,10750
46,75249,Petrol,110,0,1600,69,1035,11450
54,75231,Petrol,110,0,1600,85,1080,11950
48,75045,Petrol,110,0,1600,85,1055,11750
50,74849,Petrol,110,1,1600,85,1060,10950
55,74715,Petrol,110,0,1600,85,1080,11950
49,74656,Diesel,69,0,1900,185,1105,10995
56,74500,Petrol,97,0,1400,69,1025,11450
49,74494,Petrol,110,0,1600,85,1075,8900
50,73634,Petrol,110,0,1587,85,1075,10500
47,73403,Petrol,110,0,1600,85,1075,11750
49,73175,Petrol,97,0,1400,69,1030,11450
52,73000,Petrol,110,0,1600,85,1055,12000
50,72242,Petrol,110,1,1600,85,1070,11950
53,72000,Petrol,97,0,1400,69,1025,9850
54,71725,Petrol,110,0,1600,69,1035,10950
54,71276,Petrol,110,0,1600,85,1080,10950
50,70440,Diesel,69,0,1900,185,1105,8695
53,70239,Petrol,110,0,1600,69,1040,10990
55,69813,Petrol,97,0,1400,69,1025,9500
49,69659,Petrol,86,0,1300,69,1025,11950
46,69574,Petrol,97,0,1400,85,1065,10750
47,69000,Diesel,69,0,1900,185,1140,8750
49,68565,Petrol,110,0,1600,69,1030,8750
55,68520,Diesel,72,0,2000,185,1115,11450
46,68414,Petrol,97,0,1400,69,1025,9950
56,66777,Petrol,110,0,1600,85,1090,11950
52,66527,Petrol,110,0,1600,85,1080,13950
54,66063,Petrol,110,0,1600,85,1090,11250
50,65471,Petrol,97,0,1400,85,1060,10900
56,65400,Petrol,97,0,1400,69,1025,9750
52,65170,Petrol,97,0,1400,69,1025,9950
56,65000,Petrol,110,0,1600,19,1075,11950
48,64193,Petrol,110,0,1600,69,1040,10450
54,64000,Petrol,97,0,1400,69,1025,8950
54,63792,Petrol,110,0,1600,85,1075,10250
53,63635,Petrol,110,0,1600,69,1035,9930
54,63135,Petrol,110,0,1600,69,1050,10500
54,63123,Petrol,110,0,1600,69,1035,11950
48,63000,Diesel,69,0,1900,185,1140,11500
55,63000,Petrol,110,0,1600,69,1035,11500
54,62987,Petrol,110,0,1600,85,1080,11450
56,62751,Petrol,110,0,1600,69,1050,9900
54,62519,Petrol,97,0,1400,69,1025,9500
50,62280,Petrol,97,0,1400,85,1060,10500
50,61672,Petrol,110,0,1600,85,1075,10750
54,61000,Diesel,69,0,2000,185,1140,8950
56,61000,Petrol,110,0,1600,69,1050,12000
53,60558,Petrol,110,0,1600,19,1105,9940
47,60348,Petrol,110,0,1600,69,1030,10950
54,60239,Petrol,110,0,1600,85,1075,10750
51,59000,Petrol,97,0,1400,69,1025,9799
51,58761,Petrol,97,0,1300,85,1060,11750
54,58745,Petrol,110,0,1600,69,1035,11950
52,58596,Petrol,110,0,1600,69,1045,11250
54,58530,Petrol,110,0,1600,85,1075,11750
55,58377,Petrol,110,0,1600,69,1050,10950
56,58142,Petrol,110,0,1600,85,1080,11250
53,57948,Petrol,97,0,1400,69,1025,9950
51,57645,Petrol,110,0,1600,85,1080,9700
47,57500,Petrol,110,0,1600,19,1105,11950
53,57475,Petrol,110,0,1600,69,1040,9900
55,56743,Petrol,110,0,1600,69,1045,9990
48,56675,Petrol,97,0,1400,69,1025,9475
54,55877,Petrol,110,0,1600,85,1075,11500
53,55500,Petrol,110,0,1600,69,1035,11950
55,54900,Petrol,97,0,1400,85,1060,11500
50,54465,Petrol,110,0,1600,85,1075,10500
46,53700,Petrol,97,0,1400,85,1060,10900
52,53561,Petrol,97,0,1400,85,1060,11700
51,53408,Petrol,110,0,1600,85,1080,11900
51,53268,Petrol,110,0,1600,85,1080,13950
49,53116,Petrol,97,0,1400,69,1025,10950
56,52448,Petrol,97,0,1400,69,1025,10500
55,52149,Petrol,97,0,1400,19,1085,10750
55,52141,Petrol,110,0,1600,85,1070,11950
56,52000,Petrol,97,0,1400,69,1025,10000
48,50967,Petrol,97,0,1400,85,1060,10495
50,50400,Petrol,110,0,1600,85,1080,11450
54,50000,Petrol,97,0,1400,69,1025,9400
51,50000,Petrol,86,0,1300,69,1045,11950
53,49969,Petrol,110,0,1600,85,1075,9650
49,49568,Petrol,110,0,1600,19,1105,18950
51,49473,Petrol,110,0,1600,85,1055,11450
52,49432,Petrol,110,0,1600,69,1050,10250
48,49417,Petrol,110,0,1600,69,1045,11450
54,49366,Petrol,97,0,1400,69,1025,9950
56,48731,Petrol,110,0,1600,85,1055,10500
54,48370,Petrol,110,0,1600,85,1080,13750
48,48071,Petrol,97,0,1400,69,1025,9950
54,47852,Petrol,110,0,1600,69,1030,10250
54,47768,Petrol,110,0,1600,85,1055,10850
52,47689,Petrol,110,0,1600,85,1075,11895
53,47451,Petrol,110,0,1600,85,1055,12950
50,47219,Petrol,110,0,1600,85,1080,11950
56,47211,Petrol,110,0,1600,85,1070,10750
54,46856,Petrol,97,0,1400,85,1060,9550
56,46500,Petrol,86,0,1300,69,1035,10950
52,46449,Petrol,110,0,1600,69,1035,11750
47,46391,Petrol,110,0,1600,85,1075,10950
54,46230,Petrol,110,0,1600,85,1055,12450
52,46029,Petrol,110,0,1600,69,1030,10500
50,46000,Petrol,97,0,1400,69,1025,10900
50,45900,Petrol,110,0,1600,85,1075,12950
47,45850,Petrol,97,0,1400,85,1060,10950
56,45336,Petrol,110,0,1600,85,1080,12500
55,44537,Petrol,97,0,1400,69,1025,9950
56,43700,Petrol,86,0,1300,69,1025,10750
48,43120,Petrol,97,0,1400,69,1030,12500
49,41710,Petrol,110,0,1600,69,1040,10450
52,41700,Petrol,97,0,1400,69,1025,10750
49,41636,Petrol,110,0,1600,19,1105,12950
50,41273,Petrol,97,0,1400,85,1060,10995
49,40836,Petrol,110,1,1600,85,1075,11950
50,40400,Petrol,97,0,1400,85,1060,11250
47,40361,Petrol,110,0,1600,85,1090,11950
54,40325,Petrol,86,0,1300,69,1045,13750
